Name;Type;DLL;SymbolOrOrdinal
AiEvaluatePlugin;code;srpapi.dll;
AppIDDecodeAttributeString;code;srpapi.dll;
AppIDEncodeAttributeString;code;srpapi.dll;
AppIDFreeAttributeString;code;srpapi.dll;
SrpCloseThreadNetworkContext;code;srpapi.dll;
SrpCreateThreadNetworkContext;code;srpapi.dll;
SrpDisablePermissiveModeFileEncryption;code;srpapi.dll;
SrpDoesPolicyAllowAppExecution;code;srpapi.dll;
SrpEnablePermissiveModeFileEncryption;code;srpapi.dll;
SrpGetAllowedEnterprises;code;srpapi.dll;
SrpGetAppxFqbnFromPackageFullName;code;srpapi.dll;
SrpGetEnterpriseIds;code;srpapi.dll;
SrpGetEnterprisePolicy;code;srpapi.dll;
SrpInheritEnterpriseContext;code;srpapi.dll;
SrpInheritOriginClaim;code;srpapi.dll;
SrpIsAllowed;code;srpapi.dll;
SrpIsTokenService;code;srpapi.dll;
SrpRestoreEnterpriseContext;code;srpapi.dll;
SrpSetTokenEnterpriseId;code;srpapi.dll;
