Name;Type;DLL;SymbolOrOrdinal
IID_IGetFrame;code;AVIFIL32.dll;
IID_IAVIStream;code;AVIFIL32.dll;
IID_IAVIFile;code;AVIFIL32.dll;
IID_IAVIEditStream;code;AVIFIL32.dll;
EditStreamSetNameW;code;AVIFIL32.dll;
EditStreamSetNameA;code;AVIFIL32.dll;
EditStreamSetName;code;AVIFIL32.dll;
EditStreamSetInfoW;code;AVIFIL32.dll;
EditStreamSetInfoA;code;AVIFIL32.dll;
EditStreamSetInfo;code;AVIFIL32.dll;
EditStreamPaste;code;AVIFIL32.dll;
EditStreamCut;code;AVIFIL32.dll;
EditStreamCopy;code;AVIFIL32.dll;
EditStreamClone;code;AVIFIL32.dll;
CreateEditableStream;code;AVIFIL32.dll;
AVIStreamWriteData;code;AVIFIL32.dll;
AVIStreamWrite;code;AVIFIL32.dll;
AVIStreamTimeToSample;code;AVIFIL32.dll;
AVIStreamStart;code;AVIFIL32.dll;
AVIStreamSetFormat;code;AVIFIL32.dll;
AVIStreamSampleToTime;code;AVIFIL32.dll;
AVIStreamRelease;code;AVIFIL32.dll;
AVIStreamReadFormat;code;AVIFIL32.dll;
AVIStreamReadData;code;AVIFIL32.dll;
AVIStreamRead;code;AVIFIL32.dll;
AVIStreamOpenFromFileW;code;AVIFIL32.dll;
AVIStreamOpenFromFileA;code;AVIFIL32.dll;
AVIStreamOpenFromFile;code;AVIFIL32.dll;
AVIStreamLength;code;AVIFIL32.dll;
AVIStreamInfoW;code;AVIFIL32.dll;
AVIStreamInfoA;code;AVIFIL32.dll;
AVIStreamInfo;code;AVIFIL32.dll;
AVIStreamGetFrameOpen;code;AVIFIL32.dll;
AVIStreamGetFrameClose;code;AVIFIL32.dll;
AVIStreamGetFrame;code;AVIFIL32.dll;
AVIStreamFindSample;code;AVIFIL32.dll;
AVIStreamEndStreaming;code;AVIFIL32.dll;
AVIStreamCreate;code;AVIFIL32.dll;
AVIStreamBeginStreaming;code;AVIFIL32.dll;
AVIStreamAddRef;code;AVIFIL32.dll;
AVISaveW;code;AVIFIL32.dll;
AVISaveVW;code;AVIFIL32.dll;
AVISaveVA;code;AVIFIL32.dll;
AVISaveV;code;AVIFIL32.dll;
AVISaveOptionsFree;code;AVIFIL32.dll;
AVISaveOptions;code;AVIFIL32.dll;
AVISaveA;code;AVIFIL32.dll;
AVISave;code;AVIFIL32.dll;
AVIPutFileOnClipboard;code;AVIFIL32.dll;
AVIMakeStreamFromClipboard;code;AVIFIL32.dll;
AVIMakeFileFromStreams;code;AVIFIL32.dll;
AVIMakeCompressedStream;code;AVIFIL32.dll;
AVIGetFromClipboard;code;AVIFIL32.dll;
AVIFileWriteData;code;AVIFIL32.dll;
AVIFileRelease;code;AVIFIL32.dll;
AVIFileReadData;code;AVIFIL32.dll;
AVIFileOpenW;code;AVIFIL32.dll;
AVIFileOpenA;code;AVIFIL32.dll;
AVIFileOpen;code;AVIFIL32.dll;
AVIFileInit;code;AVIFIL32.dll;
AVIFileInfoW;code;AVIFIL32.dll;
AVIFileInfoA;code;AVIFIL32.dll;
AVIFileInfo;code;AVIFIL32.dll;
AVIFileGetStream;code;AVIFIL32.dll;
AVIFileExit;code;AVIFIL32.dll;
AVIFileEndRecord;code;AVIFIL32.dll;
AVIFileCreateStreamW;code;AVIFIL32.dll;
AVIFileCreateStreamA;code;AVIFIL32.dll;
AVIFileCreateStream;code;AVIFIL32.dll;
AVIFileAddRef;code;AVIFIL32.dll;
AVIClearClipboard;code;AVIFIL32.dll;
AVIBuildFilterW;code;AVIFIL32.dll;
AVIBuildFilterA;code;AVIFIL32.dll;
AVIBuildFilter;code;AVIFIL32.dll;
videoThunk32;code;AVICAP32.dll;
capGetDriverDescriptionW;code;AVICAP32.dll;
capGetDriverDescriptionA;code;AVICAP32.dll;
capCreateCaptureWindowW;code;AVICAP32.dll;
capCreateCaptureWindowA;code;AVICAP32.dll;
AppCleanup;code;AVICAP32.dll;
